id	expect	pure	scanner	verdict
paired_bracket	ok	ok	ok	agree
paired_brace	ok	ok	ok	agree
paired_angle	ok	ok	ok	agree
paired_paren	ok	ok	ok	agree
same_bang	ok	ok	ok	agree
same_hash	ok	ok	ok	agree
same_pipe	ok	ok	ok	agree
same_slash	ok	ok	ok	agree
same_dquote	ok	ok	ok	agree
n_prefix	ok	ok	ok	agree
N_prefix	ok	ok	ok	agree
Q_upper	ok	ok	ok	agree
q_lower	ok	ok	ok	agree
interior_delim_ok	ok	ok	ok	agree
interior_close_pair	ok	ok	ok	agree
empty	ok	ok	ok	agree
sql_in_q	ok	ok	ok	agree
content_ends_delim	ok	err	ok	pure_gap
arb_at	ok	err	ok	pure_gap
arb_tilde	ok	err	ok	pure_gap
arb_x	ok	err	ok	pure_gap
arb_digit	ok	err	ok	pure_gap
arb_dollar	ok	err	ok	pure_gap
arb_underscore	ok	err	ok	pure_gap
arb_colon	ok	err	ok	pure_gap
arb_star	ok	err	ok	pure_gap
n_arb_at	ok	err	ok	pure_gap
wrong_pair	err	err	err	agree
unclosed	err	err	err	agree
ordinary	ok	ok	ok	agree
ordinary_escape	ok	ok	ok	agree
ordinary_n	ok	ok	ok	agree
